,date,ret
342,1978-02-10,0.0
343,1978-02-13,0.0
344,1978-02-14,0.0
345,1978-02-15,0.0
346,1978-02-16,0.0
347,1978-02-17,0.0
348,1978-02-21,0.0
349,1978-02-22,0.00732600735500455
350,1978-02-23,0.0
351,1978-02-24,0.0
352,1978-02-27,0.0
353,1978-02-28,0.0
354,1978-03-01,0.0
355,1978-03-02,0.0
356,1978-03-03,0.0
357,1978-03-06,0.0
358,1978-03-07,0.0
359,1978-03-08,0.0
360,1978-03-09,0.0
361,1978-03-10,0.0
362,1978-03-13,0.0254545453935862
363,1978-03-14,0.0
364,1978-03-15,0.0
365,1978-03-16,0.0
366,1978-03-17,0.0
367,1978-03-20,0.0
368,1978-03-21,0.0
369,1978-03-22,0.0
370,1978-03-23,0.0
371,1978-03-27,0.0177304968237877
372,1978-03-28,0.0
373,1978-03-29,0.0
374,1978-03-30,0.0
375,1978-03-31,
376,1978-04-03,
377,1978-04-04,0.0
378,1978-04-05,0.0
379,1978-04-06,0.0243902429938316
380,1978-04-07,-0.00340136047452688
381,1978-04-10,0.0
382,1978-04-11,0.00341296917758882
383,1978-04-12,0.00680272094905376
384,1978-04-13,0.0
385,1978-04-14,0.0
386,1978-04-17,0.00337837846018374
387,1978-04-18,0.0
388,1978-04-19,
389,1978-04-20,0.0134680131450295
390,1978-04-21,0.0
391,1978-04-24,-0.0132890362292528
392,1978-04-25,0.0
393,1978-04-26,0.0202020201832056
394,1978-04-27,0.0
395,1978-04-28,0.00330033013597131
396,1978-05-01,0.0
397,1978-05-02,0.0
398,1978-05-03,-0.00328947370871902
399,1978-05-04,0.0
400,1978-05-05,0.0165016502141953
401,1978-05-08,-0.0129870129749179
402,1978-05-09,0.0
403,1978-05-10,0.0
404,1978-05-11,0.0
405,1978-05-12,0.00328947370871902
406,1978-05-15,0.0
407,1978-05-16,0.0
408,1978-05-17,0.0
409,1978-05-18,0.0
410,1978-05-19,0.0393442623317242
411,1978-05-22,0.0
412,1978-05-23,0.0410094633698463
413,1978-05-24,0.0242424234747887
414,1978-05-25,0.0
415,1978-05-26,
416,1978-05-30,0.0355029590427876
417,1978-05-31,0.0
418,1978-06-01,0.0
419,1978-06-02,0.0
420,1978-06-05,0.0
421,1978-06-06,0.0714285746216774
422,1978-06-07,0.0
423,1978-06-08,-0.0133333336561918
424,1978-06-09,0.0
425,1978-06-12,0.0
426,1978-06-13,0.0
427,1978-06-14,0.0
428,1978-06-15,0.0
429,1978-06-16,0.0
430,1978-06-19,0.0
431,1978-06-20,0.0
432,1978-06-21,0.0
433,1978-06-22,0.0
434,1978-06-23,0.0
435,1978-06-26,-0.0270270276814699
436,1978-06-27,0.0
437,1978-06-28,-0.0277777779847383
438,1978-06-29,0.0
439,1978-06-30,-0.0285714287310839
440,1978-07-03,0.0
441,1978-07-05,0.0
442,1978-07-06,0.0
443,1978-07-07,0.0058823530562222
444,1978-07-10,-0.00584795325994492
445,1978-07-11,-0.0235294122248888
446,1978-07-12,0.0240963846445084
447,1978-07-13,0.0
448,1978-07-14,0.0
449,1978-07-17,0.0
450,1978-07-18,0.0
451,1978-07-19,0.0
452,1978-07-20,0.0
453,1978-07-21,0.0
454,1978-07-24,0.0
455,1978-07-25,0.0
456,1978-07-26,0.0
457,1978-07-27,0.0
458,1978-07-28,0.0
459,1978-07-31,0.0
460,1978-08-01,0.0
