date;vwretd;rf;mprem
2009-09-30;0.04521635;3.590997264102391e-05;0.04518044002735898
2009-10-30;-0.02797095;8.449149666800437e-06;-0.027979399149666802
2009-11-30;0.05711698;6.125957552405303e-05;0.057055720424475945
2009-12-31;0.02843039;3.1685107327650286e-05;0.02839870489267235
2010-01-29;-0.03709752;1.2673781195182698e-05;-0.037110193781195185
2010-02-26;0.03478614;6.125976059534466e-05;0.034724880239404655
2010-03-31;0.06362587;0.00011196391633094827;0.06351390608366905
2010-04-30;0.02006334;0.00011830185492645029;0.01994503814507355
2010-05-28;-0.07916308;0.00011407627830628542;-0.07927715627830628
2010-06-30;-0.05074472;0.00013520514054476962;-0.05087992514054477
2010-07-30;0.0703086;0.00011830185492645029;0.07019029814507355
2010-08-31;-0.04284408;0.00012675206514245474;-0.042970832065142454
2010-09-30;0.09154682;0.00011196371025246066;0.09143485628974754
2010-10-29;0.03851225;0.00010562523849522165;0.038406624761504776
2010-11-30;0.005124541;0.00014154188482295993;0.00498299911517704
2010-12-31;0.06720509;6.759743082263014e-05;0.06713749256917736
2011-01-31;0.01913699;0.00012463952460239902;0.0190123504753976
2011-02-28;0.03817537;6.548465314870633e-05;0.038109885346851294
2011-03-31;0.00335316;4.8584714114729977e-05;0.00330457528588527
2011-04-29;0.02866654;1.2673781195182698e-05;0.028653866218804818
2011-05-31;-0.01489987;3.590984545365217e-05;-0.014935779845453653
2011-06-30;-0.01838777;6.336848736410161e-06;-0.01839410684873641
2011-07-29;-0.02252415;7.393518610920857e-05;-0.02259808518610921
2011-08-31;-0.05749821;0.0;-0.05749821
2011-09-30;-0.08486251;1.2673781195182698e-05;-0.08487518378119518
2011-10-31;0.1140301;4.224555054888057e-06;0.11402587544494511
2011-11-30;-0.006207199;0.0;-0.006207199
2011-12-30;0.003696293;0.0;0.003696293
2012-01-31;0.05409463;3.168502481076807e-05;0.05406294497518923
2012-02-29;0.0412389;4.435978718397848e-05;0.04119454021281602
2012-03-30;0.02400399;2.957268528858137e-05;0.023974417314711418
2012-04-30;-0.006806476;6.337210983109465e-05;-0.006869848109831094
2012-05-31;-0.06557433;2.323553425620517e-05;-0.0655975655342562
2012-06-29;0.03818888;2.957268528858137e-05;0.03815930731471142
2012-07-31;0.01028388;5.069699689719265e-05;0.010233183003102808
2012-08-31;0.02627828;6.548486462931713e-05;0.026212795135370684
2012-09-28;0.0265544;3.379750580956298e-05;0.026520602494190436
2012-10-31;-0.01410401;7.816060440846151e-05;-0.014182170604408462
2012-11-30;0.006192178;0.00010139926823415912;0.0060907787317658404
2012-12-31;0.01252873;2.1123135641065716e-05;0.012507606864358934
2013-01-31;0.05414457;5.0697208149985684e-05;0.05409387279185002
2013-02-28;0.008340364;4.013483394560424e-05;0.008300229166054395
2013-03-28;0.03529375;3.379752458698704e-05;0.03525995247541301
2013-04-30;0.01494684;1.267377063340902e-05;0.01493416622936659
2013-05-31;0.01907392;1.2673783835515096e-05;0.019061246216164486
2013-06-28;-0.01503552;8.449149666800437e-06;-0.0150439691496668
2013-07-31;0.05271696;8.449152013589867e-06;0.05270851084798641
2013-08-30;-0.02572692;8.449149666800437e-06;-0.0257353691496668
